id_aluno_ano,nome,ano,ponto_virada,inde,iaa,ieg,ips,ida,ipp,ipv,ian,anos_pm,2020,2021,2022,fem,masc,pedra,bolsista,nao_bolsista,in_fase,ipv_pre_processado_resultado,ieg_pre_processado_resultado,ida_pre_processado_resultado,rec_ava_1_pre_processado_resultado,rec_ava_2_pre_processado_resultado,rec_ava_3_pre_processado_resultado,rec_ava_4_pre_processado_resultado,fase
aluno867_2021,aluno867,2021,0.0,4.088,0.0,2.1,8.1,1.7,6.9,6.7,5.0,0,0.0,1.0,0.0,0.0,1.0,1,0.0,1.0,0,,,,0.0,0.0,0.0,0.0,1
aluno868_2021,aluno868,2021,0.0,8.081,9.0,8.3,7.5,7.0,7.8,7.9,10.0,0,0.0,1.0,0.0,1.0,0.0,3,0.0,1.0,0,,,,0.0,0.0,0.0,0.0,0
aluno868_2022,aluno868,2022,0.0,7.569368138401559,9.50002,8.888499025341131,8.125,6.916666666666666,5.625,7.916665,5.0,1,0.0,0.0,1.0,1.0,0.0,3,1.0,0.0,0,1.0,1.0,-1.0,1.0,1.0,,,0
aluno869_2022,aluno869,2022,0.0,6.730094370370371,9.000020000000001,8.351851851851851,7.5,4.75,6.041666666666667,6.777776666666666,5.0,0,0.0,0.0,1.0,1.0,0.0,2,1.0,0.0,0,-1.0,1.0,-1.0,0.0,1.0,0.0,,1
aluno870_2022,aluno870,2022,1.0,8.427782,10.00002,10.0,7.5,8.0,6.666666666666666,9.555566666666666,5.0,0,0.0,0.0,1.0,1.0,0.0,4,1.0,0.0,0,1.0,1.0,1.0,1.0,1.0,0.0,,2
aluno871_2021,aluno871,2021,0.0,6.258,8.5,6.7,7.5,2.9,7.5,7.5,5.0,0,0.0,1.0,0.0,1.0,0.0,2,0.0,1.0,0,,,,1.0,0.0,0.0,0.0,0
aluno872_2020,aluno872,2020,0.0,6.996391333333334,9.000020000000001,8.1,4.375,6.0,7.5,7.944446666666667,5.0,3,1.0,0.0,0.0,0.0,1.0,2,1.0,0.0,1,-1.0,1.0,-1.0,,,,,2
aluno872_2021,aluno872,2021,0.0,4.451,6.7,2.2,5.0,2.9,5.2,3.7,10.0,4,0.0,1.0,0.0,0.0,1.0,1,1.0,0.0,0,,,,-1.0,1.0,0.0,0.0,3
aluno872_2022,aluno872,2022,0.0,5.526750312169312,7.08333,5.727513227513228,5.625,4.333333333333333,7.1875,5.12499,5.0,5,0.0,0.0,1.0,0.0,1.0,1,1.0,0.0,0,-1.0,-1.0,-1.0,1.0,0.0,0.0,1.0,3
aluno873_2020,aluno873,2020,0.0,7.506112,9.000020000000001,8.6,7.5,7.5,6.25,7.555549999999999,5.0,0,1.0,0.0,0.0,1.0,0.0,3,0.0,1.0,1,-1.0,1.0,1.0,,,,,1
