ano,nome,instituicao_ensino_aluno,idade_aluno,anos_pm,ponto_virada,inde,inde_conceito,pedra,destaque_ieg,destaque_ida,destaque_ipv,iaa,ieg,ips,ida,ipp,ipv,ian,fase,turma,sinalizador_ingressante,rec_ava_1,rec_ava_2,rec_ava_3,rec_ava_4,defasagem,fase_ideal,ano_ingresso,bolsista,cg,cf,ct,nota_port,nota_mat,nota_ing,qtd_aval,indicado_bolsa
2020,aluno1004,Escola Pública,8,0,0.0,7.675002000000001,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.000020000000001,10.0,6.25,9.0,2.5,5.5,10.0,ALFA,H,,,,,,,,,,,,,,,,,
2020,aluno1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno1006,Escola Pública,10,1,0.0,7.8105573333333345,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,9.4,7.5,7.5,7.916666666666668,7.444443333333333,5.0,Fase 1,H,,,,,,,,,,,,,,,,,
2020,aluno1007,Escola Pública,11,1,0.0,7.5266693333333325,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.50002,8.3,7.5,4.0,8.333333333333332,7.666670000000001,10.0,Fase 2,P,,,,,,,,,,,,,,,,,
2020,aluno1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno1009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno1010,Escola Pública,9,1,0.0,8.582085,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.000020000000001,9.9,5.0,10.0,7.1875,7.416665,10.0,Fase 1,B,,,,,,,,,,,,,,,,,
2020,aluno1011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno1012,Escola Pública,8,0,0.0,8.765835000000001,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.000020000000001,9.1,7.5,10.0,8.125,7.916665,10.0,Fase 1,M,,,,,,,,,,,,,,,,,
2020,aluno1013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno1014,Escola Pública,10,1,0.0,6.964446,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.000020000000001,8.6,7.5,5.0,7.5,7.222219999999999,5.0,Fase 1,N,,,,,,,,,,,,,,,,,
2020,aluno1015,Escola Pública,12,2,1.0,8.052502,B,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.16668,7.2,7.5,6.666666666666667,8.125,9.000003333333332,10.0,Fase 3,R,,,,,,,,,,,,,,,,,
2020,aluno1016,Escola Pública,12,1,0.0,7.433890666666667,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.500020000000001,9.6,7.5,6.0,7.916666666666668,7.11111,5.0,Fase 2,E,,,,,,,,,,,,,,,,,
