nome,ano,ponto_virada,inde,iaa,ieg,ips,ida,ipp,ipv,ian,anos_pm,2020,2021,2022,fem,masc,pedra,bolsista,nao_bolsista,in_fase,ipv_pre_processado_resultado,ieg_pre_processado_resultado,ida_pre_processado_resultado,rec_ava_1_pre_processado_resultado,rec_ava_2_pre_processado_resultado,rec_ava_3_pre_processado_resultado,rec_ava_4_pre_processado_resultado
aluno34,2022,0.0,6.666787745731961,7.5,7.056167617548691,7.5,6.111111111111111,7.5,6.41666,5.0,4,0.0,0.0,1.0,1.0,0.0,2,1.0,0.0,0,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.0
aluno35,2020,0.0,6.64396,8.75001,6.1,6.25,5.0,7.65625,8.29167,5.0,3,1.0,0.0,0.0,1.0,0.0,2,0.0,1.0,1,-1.0,-1.0,-1.0,,,,
aluno35,2021,1.0,8.416,9.2,9.4,7.5,8.2,8.4,9.4,5.0,4,0.0,1.0,0.0,1.0,0.0,4,0.0,1.0,0,,,,1.0,1.0,1.0,1.0
aluno36,2020,0.0,8.307780333333334,9.58335,9.9,7.5,8.0,8.749999999999998,8.222226666666668,5.0,1,1.0,0.0,0.0,1.0,0.0,3,0.0,1.0,1,-1.0,1.0,1.0,,,,
aluno36,2021,0.0,6.246,8.3,6.4,3.8,4.7,7.3,7.9,5.0,2,0.0,1.0,0.0,1.0,0.0,2,0.0,1.0,0,,,,1.0,1.0,0.0,0.0
aluno36,2022,0.0,6.854039584291188,5.83333,8.074712643678161,6.25,5.877777777777777,7.96875,7.7916675,5.0,3,0.0,0.0,1.0,1.0,0.0,2,1.0,0.0,0,1.0,1.0,-1.0,1.0,0.0,1.0,1.0
aluno37,2020,0.0,6.6788913333333335,10.00002,7.7,4.375,2.5,6.458333333333333,7.77778,10.0,2,1.0,0.0,0.0,0.0,1.0,2,0.0,1.0,1,1.0,1.0,-1.0,,,,
aluno37,2021,0.0,6.154,0.0,5.4,6.9,6.5,7.5,6.7,10.0,3,0.0,1.0,0.0,0.0,1.0,2,0.0,1.0,0,,,,0.0,0.0,0.0,0.0
aluno37,2022,0.0,7.55554175568551,8.500020000000001,9.041585445094215,7.5,7.333333333333333,6.25,7.777779999999999,5.0,4,0.0,0.0,1.0,0.0,1.0,3,1.0,0.0,0,1.0,1.0,-1.0,0.0,1.0,0.0,
aluno38,2021,0.0,6.847,3.8,6.9,7.5,5.1,7.5,7.8,10.0,0,0.0,1.0,0.0,1.0,0.0,2,0.0,1.0,0,,,,0.0,1.0,0.0,0.0
aluno38,2022,0.0,6.695387571428572,9.16668,6.721726190476191,6.25,5.666666666666667,7.34375,7.20833,5.0,1,0.0,0.0,1.0,1.0,0.0,2,1.0,0.0,0,-1.0,-1.0,-1.0,1.0,0.0,1.0,0.0
aluno39,2020,0.0,8.131388333333334,6.24999,9.4,7.5,8.333333333333334,8.541666666666666,6.777780000000001,10.0,3,1.0,0.0,0.0,1.0,0.0,3,0.0,1.0,1,1.0,1.0,1.0,,,,
aluno40,2021,0.0,7.334,9.2,7.8,7.5,6.0,8.3,8.0,5.0,0,0.0,1.0,0.0,0.0,1.0,3,0.0,1.0,0,,,,1.0,0.0,1.0,0.0
aluno41,2020,0.0,7.460002,8.000020000000001,8.3,7.5,7.25,7.5,7.75,5.0,0,1.0,0.0,0.0,0.0,1.0,3,0.0,1.0,1,-1.0,1.0,-1.0,,,,
aluno41,2021,0.0,6.1,0.0,5.0,7.5,6.8,7.5,8.8,5.0,1,0.0,1.0,0.0,0.0,1.0,2,0.0,1.0,0,,,,1.0,1.0,1.0,0.0
aluno42,2021,0.0,6.802,10.0,6.7,7.5,4.0,7.2,6.0,10.0,0,0.0,1.0,0.0,0.0,1.0,2,0.0,1.0,0,,,,0.0,0.0,0.0,0.0
aluno42,2022,0.0,4.279765904761905,9.000020000000001,3.148809523809524,7.5,2.5,0.0,2.50001,10.0,1,0.0,0.0,1.0,0.0,1.0,1,1.0,0.0,0,-1.0,-1.0,-1.0,0.0,0.0,,
aluno43,2020,0.0,7.805209,7.5,7.5,7.5,7.0,7.96875,8.04167,10.0,2,1.0,0.0,0.0,1.0,0.0,3,0.0,1.0,1,1.0,1.0,-1.0,,,,
aluno44,2020,0.0,6.218335,9.000020000000001,6.8,7.5,0.0,6.25,7.916665,10.0,0,1.0,0.0,0.0,0.0,1.0,2,0.0,1.0,1,1.0,-1.0,-1.0,,,,
aluno45,2020,0.0,6.631252,8.500020000000001,1.0,7.5,10.0,7.8125,7.75,5.0,1,1.0,0.0,0.0,0.0,1.0,2,0.0,1.0,1,-1.0,-1.0,1.0,,,,
aluno45,2022,0.0,6.730556,7.916679999999999,9.166666666666666,6.25,5.0,6.25,6.777773333333332,5.0,0,0.0,0.0,1.0,0.0,1.0,2,1.0,0.0,0,-1.0,1.0,-1.0,0.0,0.0,0.0,
aluno46,2020,0.0,6.966669,9.50002,10.0,7.5,0.0,7.5,7.583335,10.0,0,1.0,0.0,0.0,1.0,0.0,2,0.0,1.0,1,1.0,1.0,-1.0,,,,
aluno46,2021,0.0,8.471,8.5,10.0,7.5,6.9,8.1,8.4,10.0,1,0.0,1.0,0.0,1.0,0.0,4,0.0,1.0,0,,,,1.0,0.0,0.0,0.0
