nome,idade,fase,iaa,inde,ponto_virada,sexo,ips,pedra,ipp,ida,bolsista_encoded,pedra_encoded,ian,ieg,ipv,corraca,diff_fase,na_fase,ponto_virada_encoded,cg,cf,ct
ALUNO-46,10.0,1,8.500020000000001,7.398436561403509,Não,F,7.5,Ametista,6.041666666666667,5.0,0,3,10.0,9.082456140350876,6.888883333333333,R,0.0,1,0,362.0,94.0,7.0
ALUNO-47,11.0,1,8.5,6.056,Não,M,7.5,Ágata,7.5,4.0,0,2,5.0,6.3,5.8,B,-1.0,0,0,254.0,66.0,4.0
ALUNO-47,11.0,1,8.500020000000001,7.65278,Não,M,7.5,Ametista,6.25,7.416666666666666,0,3,5.0,10.0,7.222223333333333,B,-1.0,0,0,254.0,66.0,4.0
ALUNO-48,16.0,5,5.41667,3.914881285714285,Não,F,6.25,Quartzo,5.625,0.0,0,1,5.0,3.803571428571429,4.625,R,-1.0,0,0,855.0,59.0,4.0
ALUNO-49,9.0,0,9.50002,8.339586333333333,Sim,F,7.5,Topázio,6.5625,8.166666666666666,0,4,5.0,10.0,9.250005,B,-1.0,0,1,54.0,14.0,1.0
ALUNO-50,13.0,3,0.0,4.966393630641453,Não,M,7.5,Quartzo,5.625,3.055555555555556,0,1,10.0,4.630580097651709,5.5833325,R,0.0,1,0,823.0,128.0,12.0
ALUNO-51,8.0,0,9.500020000000001,8.955835,Não,M,7.5,Topázio,8.125,10,0,4,10,9.8,7.416665,R,0.0,1,0,504.0,131.0,6.0
ALUNO-51,9.0,1,9.0,8.051,Não,M,7.5,Ametista,7.7,5.4,0,3,10.0,9.2,8.6,R,0.0,1,0,504.0,131.0,6.0
ALUNO-51,10.0,1,9.000020000000001,6.953190321839081,Não,M,7.5,Ágata,5.625,5.083333333333334,0,2,5.0,9.203448275862067,6.91666,R,-1.0,0,0,504.0,131.0,6.0
ALUNO-56,17.0,6,8.8,6.777,Não,M,5.6,Ágata,7.8,5.5,0,2,5.0,7.5,7.2,B,-1.0,0,0,861.0,23.0,15.0
ALUNO-56,inf,7,0.0,3.036573379084968,Não,M,5.0,Quartzo,3.28125,0.4444444444444445,0,1,5.0,3.597794117647059,4.500003333333333,B,-1.0,0,0,861.0,23.0,15.0
ALUNO-58,14.0,3,7.91667,7.305158063492064,Não,F,7.5,Ametista,8.125,6.888888888888889,0,3,5.0,7.991071428571429,7.374995,R,-1.0,0,0,386.0,45.0,2.0
ALUNO-60,17.0,5,7.5,7.679582333333333,Não,M,6.875,Ametista,8.4375,6.666666666666667,1,3,5,9.7,8.124995,R,-2.0,0,0,753.0,18.0,10.0
ALUNO-60,18.0,6,7.9,6.956,Não,M,6.9,Ametista,7.2,6.1,1,3,5.0,7.5,7.7,R,-2.0,0,0,753.0,18.0,10.0
ALUNO-60,19.0,7,8.33334,5.783132947712418,Não,M,5.625,Quartzo,7.96875,4.044444444444444,0,1,5.0,4.129901960784314,7.277773333333332,R,-1.0,0,0,753.0,18.0,10.0
ALUNO-61,10.0,1,9.000020000000001,5.604168666666667,Não,F,7.5,Quartzo,6.875,0,0,1,5,6.5,7.333333333333333,P,-1.0,0,0,658.0,119.0,11.0
ALUNO-61,11.0,1,0.0,3.017,Não,F,5.6,Quartzo,6.9,0.0,0,1,5.0,1.3,5.1,P,-1.0,0,0,658.0,119.0,11.0
ALUNO-61,12.0,2,10.00002,6.410355757575758,Não,F,7.5,Ágata,6.25,2.5,0,2,5.0,7.787878787878788,7.38889,P,-1.0,0,0,658.0,119.0,11.0
ALUNO-63,9.0,0,9.50002,6.683821329434698,Não,F,5.625,Ágata,5.625,5.083333333333334,0,2,5.0,8.544103313840155,6.91666,B,-1.0,0,0,594.0,163.0,13.0
ALUNO-64,15.0,3,8.75001,4.664931388888889,Não,M,7.5,Quartzo,4.84375,2.833333333333333,0,1,5.0,3.611111111111112,3.8333325,B,-2.0,0,0,839.0,137.0,16.0
ALUNO-65,9.0,0,10.0,8.438,Sim,M,7.5,Topázio,8.1,6.9,0,4,5.0,10.0,10.0,B,-1.0,0,1,146.0,37.0,3.0
ALUNO-65,11.0,1,10.00002,7.987503111111112,Sim,M,5.625,Ametista,6.25,8.166666666666666,1,3,5.0,9.555555555555555,8.777783333333334,B,-1.0,0,1,146.0,37.0,3.0
ALUNO-66,13.0,2,8.0,6.875,Não,F,7.5,Ágata,8.5,5.9,0,2,5.0,6.3,7.7,R,-1.0,0,0,442.0,53.0,3.0
ALUNO-66,13.0,3,6.66667,7.171874500000001,Não,F,7.5,Ametista,7.34375,7.777777777777779,0,3,10.0,5.784722222222221,6.5416625,R,0.0,1,0,442.0,53.0,3.0
ALUNO-67,11.0,1,7.4,4.939,Não,F,7.5,Quartzo,8.3,1.1,0,1,5.0,3.3,6.1,R,-1.0,0,0,564.0,138.0,5.0
ALUNO-67,11.0,1,9.000020000000001,6.770192769423559,Não,F,5.0,Ágata,5.9375,5.583333333333333,0,2,5.0,7.88220551378446,7.916665,R,-1.0,0,0,564.0,138.0,5.0
ALUNO-69,9.0,0,10.00002,7.598297219273481,Sim,M,7.5,Ametista,5.625,7.883333333333333,0,3,5.0,7.545642763034067,8.5,R,-1.0,0,1,272.0,76.0,3.0
ALUNO-70,11.0,2,10.00002,8.205557333333335,Sim,F,7.5,Topázio,6.666666666666666,6.5,0,4,10.0,8.833333333333332,8.61111,B,0.0,1,1,84.0,10.0,2.0
ALUNO-72,9.0,0,7.50002,7.728843833635814,Não,F,8.125,Ametista,5.625,8.833333333333332,0,3,5.0,8.602540834845735,8.083335,R,-1.0,0,0,227.0,62.0,5.0
ALUNO-73,16.0,4,8.33334,6.712044773504273,Não,F,7.5,Ágata,6.71875,6.5,0,2,5.0,6.992521367521367,6.2916575,R,-2.0,0,0,586.0,54.0,13.0
ALUNO-74,15.0,4,7.91667,6.684722722222222,Não,F,6.875,Ágata,7.5,6.111111111111112,0,2,5.0,6.25,7.4166675,R,-1.0,0,0,593.0,55.0,10.0
ALUNO-75,11.0,3,10.000020000000001,9.687504,Sim,F,10,Topázio,9.375,9,1,4,10,10,9.75001,R,1.0,0,1,1.0,1.0,1.0
ALUNO-75,12.0,4,10.0,9.108,Sim,F,7.5,Topázio,8.8,8.5,1,4,10.0,9.2,9.7,R,1.0,0,1,1.0,1.0,1.0
ALUNO-75,13.0,5,10.00002,9.441521857142858,Sim,F,9.375,Topázio,9.21875,8.5,1,4,10.0,9.660714285714286,9.75001,R,2.0,0,1,1.0,1.0,1.0
ALUNO-76,7.0,0,8.91668,8.958334,Não,F,10,Topázio,7.5,10,0,4,10,10,6.58333,B,0.0,1,0,61.0,12.0,1.0
ALUNO-76,8.0,1,10.0,8.869,Sim,F,7.5,Topázio,7.5,7.6,0,4,10.0,10.0,9.2,B,1.0,0,1,61.0,12.0,1.0
ALUNO-76,9.0,1,10.00002,8.306175283950617,Não,F,7.5,Topázio,5.833333333333334,7.166666666666666,0,4,10.0,9.419753086419751,8.27778,B,0.0,1,0,61.0,12.0,1.0
ALUNO-77,9.0,0,9.5,7.854,Não,F,7.5,Ametista,7.5,6.4,0,3,5.0,10.0,8.1,B,-1.0,0,0,169.0,46.0,1.0
ALUNO-77,11.0,0,10.00002,7.901663220043574,Não,F,8.75,Ametista,5.625,8.333333333333332,0,3,5.0,8.237472766884531,8.25,B,-2.0,0,0,169.0,46.0,1.0
ALUNO-78,10.0,1,9.500020000000001,7.352085,Não,F,7.5,Ametista,7.1875,5.5,0,3,5,9,7.666665,R,-1.0,0,0,271.0,70.0,8.0
ALUNO-78,11.0,1,8.9,6.339,Não,F,7.5,Ágata,7.3,2.6,0,2,5.0,9.2,5.6,R,-1.0,0,0,271.0,70.0,8.0
ALUNO-78,12.0,1,6.91668,7.604387307346327,Não,F,7.5,Ametista,6.666666666666666,7.666666666666666,0,3,5.0,9.480259870064968,7.833336666666667,R,-2.0,0,0,271.0,70.0,8.0
ALUNO-79,13.0,3,9.58335,7.110494326118326,Não,M,7.5,Ametista,7.34375,3.666666666666667,0,3,10.0,7.463924963924963,7.20833,R,0.0,1,0,452.0,55.0,9.0
ALUNO-80,10.0,2,6.9166799999999995,6.499723333333334,Não,M,7.5,Ágata,7.291666666666667,0,0,2,10,9.2,7.444443333333333,B,0.0,1,0,633.0,110.0,9.0
ALUNO-80,12.0,2,6.83334,6.580093259259259,Não,M,5.625,Ágata,6.25,4.25,0,2,5.0,9.296296296296296,7.5,B,-1.0,0,0,633.0,110.0,9.0
ALUNO-81,15.0,4,5.41667,7.386391000000001,Sim,F,7.5,Ametista,8.125,6,0,3,5,8.8,9.11112,A,-1.0,0,1,327.0,10.0,10.0
ALUNO-81,16.0,5,6.3,6.188,Não,F,2.5,Ágata,8.1,6.5,1,2,5.0,5.8,7.7,A,-1.0,0,0,327.0,10.0,10.0
ALUNO-81,17.0,6,8.33334,7.474202506556246,Sim,F,8.125,Ametista,7.5,6.655555555555555,1,3,5.0,7.402950310559007,8.833336666666666,A,-1.0,0,1,327.0,10.0,10.0
ALUNO-83,14.0,4,9.16668,8.155003333333333,Sim,F,5.625,Ametista,8.958333333333332,5.333333333333333,1,3,10,9.4,9.166676666666666,B,0.0,1,1,429.0,27.0,3.0
ALUNO-83,15.0,5,6.7,5.987,Não,F,3.8,Ágata,7.3,3.0,1,2,10.0,6.4,6.7,B,0.0,1,0,429.0,27.0,3.0
ALUNO-83,16.0,5,7.91667,7.202977523809524,Não,F,7.5,Ametista,6.875,6.8,1,3,5.0,7.819047619047619,7.750005,B,-1.0,0,0,429.0,27.0,3.0
ALUNO-84,8.0,0,9.000020000000001,8.750001000000001,Não,F,10,Topázio,7.5,8.5,0,4,10,10,6.999995,B,0.0,1,0,309.0,81.0,6.0
ALUNO-84,9.0,1,3.5,7.867,Não,F,7.5,Ametista,7.5,6.8,0,3,10.0,10.0,8.3,B,0.0,1,0,309.0,81.0,6.0
ALUNO-84,10.0,1,9.000020000000001,7.502401434343434,Sim,F,7.5,Ametista,6.458333333333334,6.25,0,3,5.0,8.838383838383837,8.444446666666666,B,-1.0,0,1,309.0,81.0,6.0
ALUNO-85,9.0,0,9.500020000000001,7.263334,Não,M,2.5,Ágata,2.5,10,0,2,5,9.9,6.66666,B,-1.0,0,0,218.0,56.0,1.0
ALUNO-85,10.0,0,9.5,6.652,Não,M,6.3,Ágata,4.7,6.9,0,2,5.0,6.7,7.0,B,-2.0,0,0,218.0,56.0,1.0
ALUNO-85,11.0,1,9.50002,7.744553615384616,Sim,M,5.0,Ametista,5.625,7.583333333333333,0,3,5.0,9.743589743589745,8.833335,B,-1.0,0,1,218.0,56.0,1.0
ALUNO-87,14.0,4,8.33334,8.188612666666666,Sim,F,5.625,Ametista,8.749999999999998,6.666666666666667,1,3,10,9.2,8.722226666666666,B,0.0,1,1,608.0,36.0,8.0
ALUNO-87,15.0,5,7.9,8.004,Não,F,7.5,Ametista,8.1,7.8,1,3,10.0,7.8,7.7,B,0.0,1,0,608.0,36.0,8.0
ALUNO-87,16.0,5,9.16668,6.644810737664296,Não,F,5.625,Ágata,7.96875,6.566666666666667,1,2,5.0,5.652169521654815,7.1250025,B,-1.0,0,0,608.0,36.0,8.0
