ano,nome,instituicao_ensino_aluno,idade_aluno,anos_pm,ponto_virada,inde,inde_conceito,pedra,destaque_ieg,destaque_ida,destaque_ipv,iaa,ieg,ips,ida,ipp,ipv,ian,fase,turma,sinalizador_ingressante,rec_ava_1,rec_ava_2,rec_ava_3,rec_ava_4,defasagem,fase_ideal,ano_ingresso,bolsista,cg,cf,ct,nota_port,nota_mat,nota_ing,qtd_aval,indicado_bolsa
2020,aluno547,Escola Pública,14,2,0.0,7.275557333333333,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.33334,6.6,5.0,6.0,8.333333333333332,7.944450000000002,10.0,Fase 4,L,,,,,,,,,,,,,,,,,
2021,aluno940,Escola Pública,,,0.0,6.557,,Ágata,,,,8.5,8.3,7.5,2.9,7.9,7.1,5.0,Fase 1,C,Veterano,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,-1.0,Fase 2 ,,,,,,,,,,
2020,aluno816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,aluno1329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,aluno1322,,,,0.0,4.989017484848485,,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.58335,3.257575757575757,7.5,2.0,5.625,5.833336666666667,5.0,Fase 5,C,,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Alocado em Fase anterior,,Fase 6 ,2022,0.0,820.0,57.0,7.0,6.0,0.0,0.0,4,0.0
2020,aluno374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,aluno387,,,,0.0,5.159305551302499,,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.5,5.126395534290271,6.25,3.222222222222222,6.5625,4.79166,5.0,Fase 4,P,,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,,Fase 5 ,2018,0.0,814.0,73.0,9.0,1.333333333333333,4.5,3.833333333333333,4,0.0
2022,aluno246,,,,0.0,6.736315131313132,,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.000020000000001,7.473232323232324,6.875,5.25,6.041666666666667,7.5,5.0,Fase 1,R,,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,,,Fase 3 ,2019,0.0,574.0,140.0,10.0,5.0,5.5,,3,0.0
2020,aluno785,Escola Pública,11,1,0.0,8.812502,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,10.00002,9.5,7.5,9.0,8.125,7.75,10.0,Fase 2,B,,,,,,,,,,,,,,,,,
2022,aluno817,,,,0.0,7.279925742424242,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.75001,7.73989898989899,7.5,7.222222222222221,8.125,8.0000025,2.5,Fase 3,A,,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,,Fase 6 ,2019,0.0,403.0,47.0,12.0,5.0,7.333333333333333,9.333333333333334,4,1.0
